mae: 4.498658356337725: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.7 _gamma: 0.2, _colsample_bytree: 0.2, _colsample_bylevel: 1, 
mae: 4.475860899388525: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.7 _gamma: 0.2, _colsample_bytree: 0.6, _colsample_bylevel: 0.2, 
mae: 3.9827977447427267: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.7 _gamma: 0.2, _colsample_bytree: 0.6, _colsample_bylevel: 0.6, 
mae: 3.887109273857631: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.7 _gamma: 0.2, _colsample_bytree: 0.6, _colsample_bylevel: 1, 
mae: 4.191227085386621: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.7 _gamma: 0.2, _colsample_bytree: 1, _colsample_bylevel: 0.2, 
mae: 3.785851142992246: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.7 _gamma: 0.2, _colsample_bytree: 1, _colsample_bylevel: 0.6, 
mae: 3.7616869349382904: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.7 _gamma: 0.2, _colsample_bytree: 1, _colsample_bylevel: 1, 
mae: 5.032563917345233: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.7 _gamma: 0.4, _colsample_bytree: 0.2, _colsample_bylevel: 0.2, 
mae: 4.629035223587626: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.7 _gamma: 0.4, _colsample_bytree: 0.2, _colsample_bylevel: 0.6, 
mae: 4.453420094929456: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.7 _gamma: 0.4, _colsample_bytree: 0.2, _colsample_bylevel: 1, 
mae: 4.498385489012992: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.7 _gamma: 0.4, _colsample_bytree: 0.6, _colsample_bylevel: 0.2, 
mae: 3.9785970410915916: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.7 _gamma: 0.4, _colsample_bytree: 0.6, _colsample_bylevel: 0.6, 
mae: 3.9113750928741085: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.7 _gamma: 0.4, _colsample_bytree: 0.6, _colsample_bylevel: 1, 
mae: 4.2158121036957: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.7 _gamma: 0.4, _colsample_bytree: 1, _colsample_bylevel: 0.2, 
mae: 3.8096600622336263: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.7 _gamma: 0.4, _colsample_bytree: 1, _colsample_bylevel: 0.6, 
